txn_id,device,flow_id,role,native_size,req_bytes,mode,n_segments,total_bytes,first_seg,max_seg,min_seg,mean_seg,last_seg
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1713,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc2,2,37,28,28,9,18.5,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1713,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc4,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1714,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,native,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1714,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc1,3,37,10,18,9,12.333333333333334,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1714,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc2,2,37,28,28,9,18.5,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1714,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc4,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1715,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,native,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1715,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc1,3,37,10,18,9,12.333333333333334,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1715,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc2,2,37,28,28,9,18.5,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1715,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc4,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1716,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,native,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1716,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc1,3,37,10,18,9,12.333333333333334,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1716,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc2,2,37,28,28,9,18.5,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1716,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc4,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1717,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,native,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1717,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc1,3,37,10,18,9,12.333333333333334,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1717,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc2,2,37,28,28,9,18.5,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1717,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc4,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1718,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,native,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1718,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc1,3,37,10,18,9,12.333333333333334,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1718,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc2,2,37,28,28,9,18.5,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1718,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc4,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1719,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,native,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1719,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc1,3,37,10,18,9,12.333333333333334,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1719,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc2,2,37,28,28,9,18.5,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1719,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc4,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1720,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,native,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1720,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc1,3,37,10,18,9,12.333333333333334,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1720,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc2,2,37,28,28,9,18.5,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1720,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc4,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1721,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,native,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1721,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc1,3,37,10,18,9,12.333333333333334,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1721,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc2,2,37,28,28,9,18.5,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1721,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc4,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1722,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,native,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1722,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc1,3,37,10,18,9,12.333333333333334,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1722,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc2,2,37,28,28,9,18.5,9
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1722,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc4,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1723,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,native,1,37,37,37,37,37.0,37
AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000#1723,AB1400,AB1400L.pcap|10.0.0.3:60559>10.0.0.12:20000,real,37,35,split_bpc1,3,37,10,18,9,12.333333333333334,9
